holiday_usformat_date;holiday_brformat_date;weekday_name;holiday_description;language;country
2017-01-01;01/01/17;domingo;Confraternização Universal;pt-br;BR
2017-02-27;27/02/17;segunda-feira;Carnaval;pt-br;BR
2017-02-28;28/02/17;terça-feira;Carnaval;pt-br;BR
2017-04-14;14/04/17;sexta-feira;Paixão de Cristo;pt-br;BR
2017-04-21;21/04/17;sexta-feira;Tiradentes;pt-br;BR
2017-05-01;01/05/17;segunda-feira;Dia do Trabalho;pt-br;BR
2017-06-15;15/06/17;quinta-feira;Corpus Christi;pt-br;BR
2017-09-07;07/09/17;quinta-feira;Independência do Brasil;pt-br;BR
2017-10-12;12/10/17;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;pt-br;BR
2017-11-02;02/11/17;quinta-feira;Finados;pt-br;BR
2017-11-15;15/11/17;quarta-feira;Proclamação da República;pt-br;BR
2017-12-25;25/12/17;segunda-feira;Natal;pt-br;BR
